Game,Winner,Turns,GNU_Moves,Nodots_Moves,Duration_Seconds,Status
1,GNU,40,63,65,0.03,completed
2,GNU,37,62,56,0.01,completed
3,GNU,38,61,61,0.01,completed
4,NODOTS,36,58,62,0.01,completed
5,GNU,34,59,48,0.01,completed
6,NODOTS,35,55,56,0.01,completed
7,GNU,36,59,53,0.01,completed
8,GNU,39,61,60,0.01,completed
9,GNU,40,65,55,0.01,completed
10,GNU,32,56,54,0.01,completed
11,GNU,39,61,55,0.01,completed
12,NODOTS,38,59,62,0.01,completed
13,GNU,35,55,53,0.01,completed
14,GNU,39,68,62,0.01,completed
15,NODOTS,33,54,56,0.01,completed
16,NODOTS,31,47,51,0.01,completed
17,NODOTS,33,56,55,0.01,completed
18,GNU,43,72,71,0.02,completed
19,GNU,32,56,48,0.01,completed
20,NODOTS,30,51,50,0.01,completed
21,NODOTS,41,64,72,0.01,completed
22,NODOTS,27,45,51,0.01,completed
23,NODOTS,35,53,55,0.01,completed
24,GNU,40,63,59,0.01,completed
25,GNU,36,59,57,0.01,completed
26,NODOTS,34,55,56,0.01,completed
27,GNU,39,64,55,0.01,completed
28,NODOTS,29,52,52,0.01,completed
29,GNU,52,85,78,0.02,completed
30,GNU,30,51,45,0.01,completed
31,GNU,35,58,60,0.01,completed
32,GNU,37,58,50,0.01,completed
33,NODOTS,30,51,50,0.01,completed
34,GNU,31,58,45,0.01,completed
35,NODOTS,34,51,56,0.01,completed
36,NODOTS,30,51,53,0.01,completed
37,GNU,42,68,60,0.01,completed
38,NODOTS,36,62,58,0.01,completed
39,NODOTS,36,58,60,0.01,completed
40,NODOTS,23,41,46,0.01,completed
41,NODOTS,31,53,56,0.01,completed
42,GNU,41,68,60,0.01,completed
43,GNU,36,57,57,0.01,completed
44,GNU,38,68,54,0.01,completed
45,GNU,33,59,50,0.01,completed
46,GNU,21,45,30,0.01,completed
47,GNU,37,59,54,0.01,completed
48,GNU,46,68,72,0.01,completed
49,GNU,33,59,49,0.01,completed
50,GNU,39,59,62,0.01,completed
51,GNU,36,63,57,0.01,completed
52,GNU,33,57,47,0.01,completed
53,NODOTS,39,61,67,0.01,completed
54,GNU,37,60,54,0.01,completed
55,NODOTS,30,51,53,0.01,completed
56,GNU,25,46,40,0.01,completed
57,GNU,35,62,56,0.01,completed
58,GNU,34,59,49,0.01,completed
59,GNU,32,54,48,0.01,completed
60,GNU,42,69,65,0.01,completed
61,GNU,32,55,53,0.01,completed
62,NODOTS,31,51,55,0.01,completed
63,GNU,35,55,56,0.01,completed
64,GNU,31,58,50,0.01,completed
65,GNU,29,53,49,0.01,completed
66,GNU,36,59,57,0.01,completed
67,GNU,46,71,70,0.01,completed
68,GNU,39,60,67,0.01,completed
69,NODOTS,35,61,67,0.01,completed
70,GNU,35,59,53,0.01,completed
71,GNU,29,53,46,0.01,completed
72,NODOTS,29,50,55,0.01,completed
73,GNU,32,53,48,0.01,completed
74,GNU,33,59,52,0.01,completed
75,NODOTS,30,49,51,0.01,completed
76,GNU,39,69,51,0.01,completed
77,NODOTS,32,54,52,0.01,completed
78,GNU,31,52,54,0.01,completed
79,GNU,37,66,55,0.01,completed
80,GNU,43,65,57,0.01,completed
81,GNU,41,67,62,0.01,completed
82,GNU,30,52,47,0.01,completed
83,GNU,33,55,54,0.01,completed
84,GNU,33,58,50,0.01,completed
85,GNU,35,59,49,0.01,completed
86,NODOTS,36,60,61,0.01,completed
87,GNU,33,59,53,0.01,completed
88,GNU,33,56,48,0.01,completed
89,GNU,39,66,53,0.01,completed
90,GNU,34,55,54,0.01,completed
91,GNU,40,63,62,0.01,completed
92,GNU,29,53,44,0.01,completed
93,GNU,38,65,62,0.01,completed
94,GNU,38,63,54,0.01,completed
95,GNU,39,63,61,0.01,completed
96,NODOTS,38,65,58,0.01,completed
97,NODOTS,37,64,62,0.01,completed
98,GNU,42,68,67,0.01,completed
99,GNU,40,65,60,0.01,completed
100,NODOTS,37,60,64,0.01,completed
101,NODOTS,29,58,50,0.01,completed
102,GNU,33,56,49,0.01,completed
103,NODOTS,31,49,51,0.01,completed
104,NODOTS,36,58,60,0.01,completed
105,NODOTS,39,61,62,0.01,completed
106,GNU,37,60,58,0.01,completed
107,NODOTS,30,49,51,0.01,completed
108,NODOTS,31,51,53,0.01,completed
109,NODOTS,37,60,60,0.01,completed
110,GNU,38,65,59,0.01,completed
111,GNU,35,56,53,0.01,completed
112,NODOTS,33,48,56,0.01,completed
113,GNU,34,55,53,0.01,completed
114,NODOTS,33,54,56,0.01,completed
115,NODOTS,31,47,55,0.01,completed
116,GNU,32,53,54,0.01,completed
117,NODOTS,33,54,56,0.01,completed
118,NODOTS,48,80,77,0.01,completed
119,GNU,32,53,54,0.01,completed
120,NODOTS,35,55,57,0.01,completed
121,GNU,30,50,44,0.01,completed
122,NODOTS,30,47,48,0.01,completed
123,NODOTS,29,46,52,0.01,completed
124,NODOTS,30,49,51,0.01,completed
125,GNU,36,59,58,0.01,completed
126,GNU,39,67,62,0.01,completed
127,NODOTS,29,52,54,0.01,completed
128,NODOTS,35,55,57,0.01,completed
129,GNU,34,59,50,0.01,completed
130,GNU,34,56,58,0.01,completed
131,GNU,40,62,61,0.01,completed
132,GNU,40,66,60,0.01,completed
133,GNU,34,56,54,0.01,completed
134,NODOTS,31,53,53,0.01,completed
135,GNU,33,59,43,0.01,completed
136,GNU,33,57,52,0.01,completed
137,GNU,35,60,53,0.01,completed
138,GNU,32,55,52,0.01,completed
139,GNU,35,58,55,0.01,completed
140,GNU,39,61,59,0.01,completed
141,GNU,29,50,42,0.01,completed
142,GNU,36,64,56,0.01,completed
143,GNU,45,71,66,0.01,completed
144,NODOTS,35,55,58,0.01,completed
145,GNU,33,54,52,0.01,completed
146,GNU,35,63,53,0.01,completed
147,GNU,38,64,58,0.01,completed
148,NODOTS,33,60,54,0.01,completed
149,NODOTS,32,56,55,0.01,completed
150,GNU,38,63,59,0.01,completed
151,GNU,35,66,55,0.01,completed
152,GNU,39,60,57,0.01,completed
153,GNU,35,59,53,0.01,completed
154,GNU,34,59,52,0.01,completed
155,GNU,39,64,53,0.01,completed
156,GNU,34,53,52,0.01,completed
157,NODOTS,33,52,56,0.01,completed
158,NODOTS,41,64,66,0.01,completed
159,GNU,46,70,66,0.01,completed
160,NODOTS,29,46,54,0.01,completed
161,GNU,31,55,42,0.01,completed
162,GNU,41,68,56,0.01,completed
163,NODOTS,36,56,58,0.01,completed
164,GNU,31,54,51,0.01,completed
165,GNU,35,57,56,0.01,completed
166,NODOTS,40,62,65,0.01,completed
167,GNU,30,55,45,0.01,completed
168,GNU,36,58,46,0.01,completed
169,GNU,32,54,50,0.01,completed
170,GNU,33,58,55,0.01,completed
171,NODOTS,32,58,55,0.01,completed
172,GNU,35,58,52,0.01,completed
173,NODOTS,34,53,58,0.01,completed
174,GNU,30,56,46,0.01,completed
175,GNU,32,53,48,0.01,completed
176,NODOTS,34,57,56,0.01,completed
177,NODOTS,30,53,52,0.01,completed
178,NODOTS,41,66,66,0.01,completed
179,GNU,36,57,58,0.01,completed
180,GNU,39,61,59,0.01,completed
181,NODOTS,29,50,54,0.01,completed
182,GNU,41,62,59,0.01,completed
183,NODOTS,31,47,55,0.01,completed
184,GNU,39,69,61,0.01,completed
