GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:21:26.906Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-21-26-905Z

Game 1: O | GNU | clockwise > (40 turns, 63/65 moves, 0.03s)
Game 2: O | GNU | clockwise > (37 turns, 62/56 moves, 0.01s)
Game 3: O | GNU | clockwise > (38 turns, 61/61 moves, 0.01s)
Game 4: X | NODOTS | counterclockwise > (36 turns, 58/62 moves, 0.01s)
Game 5: O | GNU | clockwise > (34 turns, 59/48 moves, 0.01s)
Game 6: X | NODOTS | counterclockwise > (35 turns, 55/56 moves, 0.01s)
Game 7: O | GNU | clockwise > (36 turns, 59/53 moves, 0.01s)
Game 8: O | GNU | clockwise > (39 turns, 61/60 moves, 0.01s)
Game 9: O | GNU | clockwise > (40 turns, 65/55 moves, 0.01s)
Game 10: O | GNU | clockwise > (32 turns, 56/54 moves, 0.01s)
Game 11: O | GNU | clockwise > (39 turns, 61/55 moves, 0.01s)
Game 12: X | NODOTS | counterclockwise > (38 turns, 59/62 moves, 0.01s)
Game 13: O | GNU | clockwise > (35 turns, 55/53 moves, 0.01s)
Game 14: O | GNU | clockwise > (39 turns, 68/62 moves, 0.01s)
Game 15: X | NODOTS | counterclockwise > (33 turns, 54/56 moves, 0.01s)
Game 16: X | NODOTS | counterclockwise > (31 turns, 47/51 moves, 0.01s)
Game 17: X | NODOTS | counterclockwise > (33 turns, 56/55 moves, 0.01s)
Game 18: O | GNU | clockwise > (43 turns, 72/71 moves, 0.02s)
Game 19: O | GNU | clockwise > (32 turns, 56/48 moves, 0.01s)
Game 20: X | NODOTS | counterclockwise > (30 turns, 51/50 moves, 0.01s)
Game 21: X | NODOTS | counterclockwise > (41 turns, 64/72 moves, 0.01s)
Game 22: X | NODOTS | counterclockwise > (27 turns, 45/51 moves, 0.01s)
Game 23: X | NODOTS | counterclockwise > (35 turns, 53/55 moves, 0.01s)
Game 24: O | GNU | clockwise > (40 turns, 63/59 moves, 0.01s)
Game 25: O | GNU | clockwise > (36 turns, 59/57 moves, 0.01s)
Game 26: X | NODOTS | counterclockwise > (34 turns, 55/56 moves, 0.01s)
Game 27: O | GNU | clockwise > (39 turns, 64/55 moves, 0.01s)
Game 28: X | NODOTS | counterclockwise > (29 turns, 52/52 moves, 0.01s)
Game 29: O | GNU | clockwise > (52 turns, 85/78 moves, 0.02s)
Game 30: O | GNU | clockwise > (30 turns, 51/45 moves, 0.01s)
Game 31: O | GNU | clockwise > (35 turns, 58/60 moves, 0.01s)
Game 32: O | GNU | clockwise > (37 turns, 58/50 moves, 0.01s)
Game 33: X | NODOTS | counterclockwise > (30 turns, 51/50 moves, 0.01s)
Game 34: O | GNU | clockwise > (31 turns, 58/45 moves, 0.01s)
Game 35: X | NODOTS | counterclockwise > (34 turns, 51/56 moves, 0.01s)
Game 36: X | NODOTS | counterclockwise > (30 turns, 51/53 moves, 0.01s)
Game 37: O | GNU | clockwise > (42 turns, 68/60 moves, 0.01s)
Game 38: X | NODOTS | counterclockwise > (36 turns, 62/58 moves, 0.01s)
Game 39: X | NODOTS | counterclockwise > (36 turns, 58/60 moves, 0.01s)
Game 40: X | NODOTS | counterclockwise > (23 turns, 41/46 moves, 0.01s)
Game 41: X | NODOTS | counterclockwise > (31 turns, 53/56 moves, 0.01s)
Game 42: O | GNU | clockwise > (41 turns, 68/60 moves, 0.01s)
Game 43: O | GNU | clockwise > (36 turns, 57/57 moves, 0.01s)
Game 44: O | GNU | clockwise > (38 turns, 68/54 moves, 0.01s)
Game 45: O | GNU | clockwise > (33 turns, 59/50 moves, 0.01s)
Game 46: O | GNU | clockwise > (21 turns, 45/30 moves, 0.01s)
Game 47: O | GNU | clockwise > (37 turns, 59/54 moves, 0.01s)
Game 48: O | GNU | clockwise > (46 turns, 68/72 moves, 0.01s)
Game 49: O | GNU | clockwise > (33 turns, 59/49 moves, 0.01s)
Game 50: O | GNU | clockwise > (39 turns, 59/62 moves, 0.01s)
Game 51: O | GNU | clockwise > (36 turns, 63/57 moves, 0.01s)
Game 52: O | GNU | clockwise > (33 turns, 57/47 moves, 0.01s)
Game 53: X | NODOTS | counterclockwise > (39 turns, 61/67 moves, 0.01s)
Game 54: O | GNU | clockwise > (37 turns, 60/54 moves, 0.01s)
Game 55: X | NODOTS | counterclockwise > (30 turns, 51/53 moves, 0.01s)
Game 56: O | GNU | clockwise > (25 turns, 46/40 moves, 0.01s)
Game 57: O | GNU | clockwise > (35 turns, 62/56 moves, 0.01s)
Game 58: O | GNU | clockwise > (34 turns, 59/49 moves, 0.01s)
Game 59: O | GNU | clockwise > (32 turns, 54/48 moves, 0.01s)
Game 60: O | GNU | clockwise > (42 turns, 69/65 moves, 0.01s)
