GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:21:11.544Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-21-11-543Z

Game 1: O | GNU | clockwise > (40 turns, 64/61 moves, 0.02s)
Game 2: O | GNU | clockwise > (27 turns, 50/43 moves, 0.01s)
Game 3: O | GNU | clockwise > (31 turns, 55/46 moves, 0.01s)
Game 4: O | GNU | clockwise > (38 turns, 61/57 moves, 0.01s)
Game 5: X | NODOTS | counterclockwise > (31 turns, 47/53 moves, 0.01s)
Game 6: X | NODOTS | counterclockwise > (31 turns, 51/51 moves, 0.01s)
Game 7: O | GNU | clockwise > (36 turns, 57/56 moves, 0.01s)
Game 8: O | GNU | clockwise > (29 turns, 52/46 moves, 0.01s)
Game 9: O | GNU | clockwise > (32 turns, 56/56 moves, 0.01s)
Game 10: O | GNU | clockwise > (42 turns, 68/64 moves, 0.01s)
Game 11: O | GNU | clockwise > (37 turns, 64/50 moves, 0.01s)
Game 12: O | GNU | clockwise > (31 turns, 56/47 moves, 0.01s)
Game 13: X | NODOTS | counterclockwise > (32 turns, 58/54 moves, 0.01s)
Game 14: O | GNU | clockwise > (31 turns, 58/45 moves, 0.01s)
Game 15: X | NODOTS | counterclockwise > (33 turns, 52/59 moves, 0.01s)
Game 16: O | GNU | clockwise > (35 turns, 60/51 moves, 0.01s)
Game 17: X | NODOTS | counterclockwise > (32 turns, 54/55 moves, 0.01s)
Game 18: X | NODOTS | counterclockwise > (33 turns, 54/52 moves, 0.01s)
Game 19: O | GNU | clockwise > (40 turns, 68/60 moves, 0.01s)
Game 20: X | NODOTS | counterclockwise > (30 turns, 51/52 moves, 0.01s)
Game 21: O | GNU | clockwise > (31 turns, 61/45 moves, 0.01s)
Game 22: O | GNU | clockwise > (41 turns, 69/62 moves, 0.01s)
Game 23: O | GNU | clockwise > (30 turns, 54/51 moves, 0.01s)
Game 24: O | GNU | clockwise > (30 turns, 53/45 moves, 0.01s)
Game 25: X | NODOTS | counterclockwise > (38 turns, 61/66 moves, 0.01s)
Game 26: O | GNU | clockwise > (43 turns, 70/72 moves, 0.01s)
Game 27: O | GNU | clockwise > (37 turns, 59/58 moves, 0.01s)
Game 28: O | GNU | clockwise > (38 turns, 63/58 moves, 0.01s)
Game 29: O | GNU | clockwise > (37 turns, 61/58 moves, 0.01s)
Game 30: O | GNU | clockwise > (33 turns, 57/44 moves, 0.01s)
Game 31: O | GNU | clockwise > (31 turns, 53/45 moves, 0.01s)
Game 32: O | GNU | clockwise > (38 turns, 58/55 moves, 0.01s)
Game 33: O | GNU | clockwise > (31 turns, 55/53 moves, 0.01s)
Game 34: O | GNU | clockwise > (33 turns, 56/53 moves, 0.01s)
Game 35: X | NODOTS | counterclockwise > (45 turns, 76/74 moves, 0.01s)
Game 36: O | GNU | clockwise > (32 turns, 56/54 moves, 0.01s)
Game 37: O | GNU | clockwise > (42 turns, 69/61 moves, 0.01s)
Game 38: O | GNU | clockwise > (43 turns, 67/63 moves, 0.01s)
