Game,Winner,Turns,GNU_Moves,Nodots_Moves,Duration_Seconds,Status
1,GNU,40,64,61,0.02,completed
2,GNU,27,50,43,0.01,completed
3,GNU,31,55,46,0.01,completed
4,GNU,38,61,57,0.01,completed
5,NODOTS,31,47,53,0.01,completed
6,NODOTS,31,51,51,0.01,completed
7,GNU,36,57,56,0.01,completed
8,GNU,29,52,46,0.01,completed
9,GNU,32,56,56,0.01,completed
10,GNU,42,68,64,0.01,completed
11,GNU,37,64,50,0.01,completed
12,GNU,31,56,47,0.01,completed
13,NODOTS,32,58,54,0.01,completed
14,GNU,31,58,45,0.01,completed
15,NODOTS,33,52,59,0.01,completed
16,GNU,35,60,51,0.01,completed
17,NODOTS,32,54,55,0.01,completed
18,NODOTS,33,54,52,0.01,completed
19,GNU,40,68,60,0.01,completed
20,NODOTS,30,51,52,0.01,completed
21,GNU,31,61,45,0.01,completed
22,GNU,41,69,62,0.01,completed
23,GNU,30,54,51,0.01,completed
24,GNU,30,53,45,0.01,completed
25,NODOTS,38,61,66,0.01,completed
26,GNU,43,70,72,0.01,completed
27,GNU,37,59,58,0.01,completed
28,GNU,38,63,58,0.01,completed
29,GNU,37,61,58,0.01,completed
30,GNU,33,57,44,0.01,completed
31,GNU,31,53,45,0.01,completed
32,GNU,38,58,55,0.01,completed
33,GNU,31,55,53,0.01,completed
34,GNU,33,56,53,0.01,completed
35,NODOTS,45,76,74,0.01,completed
36,GNU,32,56,54,0.01,completed
37,GNU,42,69,61,0.01,completed
38,GNU,43,67,63,0.01,completed
39,GNU,43,71,67,0.01,completed
40,GNU,39,66,63,0.01,completed
41,NODOTS,36,58,59,0.01,completed
42,GNU,43,70,67,0.01,completed
43,GNU,29,51,50,0.01,completed
44,NODOTS,37,56,60,0.01,completed
45,GNU,38,61,67,0.01,completed
46,GNU,34,52,48,0.01,completed
47,GNU,47,73,67,0.01,completed
48,GNU,36,62,59,0.01,completed
49,NODOTS,32,56,55,0.01,completed
50,NODOTS,35,55,55,0.01,completed
51,NODOTS,34,57,58,0.01,completed
52,NODOTS,38,61,66,0.01,completed
53,GNU,41,66,62,0.01,completed
54,NODOTS,34,53,52,0.01,completed
55,GNU,36,57,54,0.01,completed
56,GNU,35,57,51,0.01,completed
57,NODOTS,29,46,56,0.01,completed
58,GNU,38,60,59,0.01,completed
59,NODOTS,35,57,61,0.01,completed
60,GNU,33,56,56,0.01,completed
61,NODOTS,29,52,54,0.01,completed
62,GNU,40,63,64,0.01,completed
63,GNU,41,66,57,0.01,completed
64,GNU,34,59,47,0.01,completed
65,GNU,37,59,55,0.01,completed
66,GNU,34,60,53,0.01,completed
67,NODOTS,38,63,56,0.01,completed
68,GNU,42,71,60,0.01,completed
69,GNU,35,58,45,0.01,completed
70,GNU,43,67,62,0.01,completed
71,NODOTS,31,51,54,0.01,completed
72,NODOTS,29,48,50,0.01,completed
73,GNU,37,60,59,0.01,completed
74,GNU,38,62,62,0.01,completed
75,GNU,35,57,59,0.01,completed
76,GNU,34,59,53,0.01,completed
77,GNU,41,69,55,0.01,completed
78,GNU,29,53,44,0.01,completed
79,GNU,30,54,49,0.01,completed
80,GNU,37,64,62,0.01,completed
81,GNU,39,66,59,0.01,completed
82,NODOTS,31,49,54,0.01,completed
83,GNU,39,60,63,0.01,completed
84,GNU,33,54,48,0.01,completed
85,GNU,37,62,59,0.01,completed
86,GNU,34,56,55,0.01,completed
87,GNU,32,57,44,0.01,completed
88,NODOTS,31,51,58,0.01,completed
89,GNU,37,66,56,0.01,completed
90,NODOTS,35,61,62,0.01,completed
91,NODOTS,32,50,56,0.01,completed
92,NODOTS,30,53,54,0.01,completed
93,GNU,41,68,62,0.01,completed
94,NODOTS,34,61,52,0.01,completed
95,GNU,42,65,67,0.01,completed
96,GNU,40,66,61,0.01,completed
97,NODOTS,38,67,58,0.01,completed
98,NODOTS,32,54,55,0.01,completed
99,NODOTS,35,55,65,0.01,completed
100,GNU,42,72,66,0.02,completed
101,NODOTS,34,53,56,0.01,completed
102,NODOTS,30,49,53,0.01,completed
103,NODOTS,31,49,59,0.01,completed
104,GNU,28,48,50,0.01,completed
105,NODOTS,34,57,54,0.01,completed
106,NODOTS,30,51,48,0.01,completed
107,GNU,41,75,58,0.01,completed
108,NODOTS,33,54,52,0.01,completed
109,GNU,34,57,53,0.01,completed
110,GNU,35,58,48,0.01,completed
111,GNU,32,55,45,0.01,completed
