GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:20:44.951Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-20-44-951Z

Game 80: O | GNU | clockwise > (38 turns, 64/69 moves, 0.01s)
Game 81: O | GNU | clockwise > (39 turns, 64/59 moves, 0.01s)
Game 82: X | NODOTS | counterclockwise > (31 turns, 49/57 moves, 0.01s)
Game 83: X | NODOTS | counterclockwise > (34 turns, 51/62 moves, 0.01s)
Game 84: X | NODOTS | counterclockwise > (33 turns, 52/59 moves, 0.01s)
Game 85: O | GNU | clockwise > (36 turns, 59/54 moves, 0.01s)
Game 86: O | GNU | clockwise > (36 turns, 59/53 moves, 0.01s)
Game 87: O | GNU | clockwise > (33 turns, 56/52 moves, 0.01s)
Game 88: O | GNU | clockwise > (33 turns, 63/54 moves, 0.01s)
Game 89: O | GNU | clockwise > (38 turns, 67/61 moves, 0.01s)
Game 90: X | NODOTS | counterclockwise > (34 turns, 55/56 moves, 0.01s)
Game 91: O | GNU | clockwise > (29 turns, 55/48 moves, 0.01s)
Game 92: X | NODOTS | counterclockwise > (29 turns, 44/52 moves, 0.01s)
Game 93: O | GNU | clockwise > (36 turns, 62/59 moves, 0.01s)
Game 94: X | NODOTS | counterclockwise > (32 turns, 56/50 moves, 0.01s)
Game 95: X | NODOTS | counterclockwise > (31 turns, 47/57 moves, 0.01s)
Game 96: O | GNU | clockwise > (38 turns, 69/62 moves, 0.01s)
Game 97: O | GNU | clockwise > (40 turns, 63/68 moves, 0.01s)
Game 98: X | NODOTS | counterclockwise > (34 turns, 61/56 moves, 0.01s)
Game 99: O | GNU | clockwise > (41 turns, 68/61 moves, 0.01s)
Game 100: O | GNU | clockwise > (35 turns, 57/53 moves, 0.01s)
Game 101: X | NODOTS | counterclockwise > (31 turns, 47/53 moves, 0.01s)
Game 102: X | NODOTS | counterclockwise > (43 turns, 67/66 moves, 0.01s)
