Game,Winner,Turns,GNU_Moves,Nodots_Moves,Duration_Seconds,Status
1,GNU,29,50,46,0.02,completed
2,NODOTS,38,65,62,0.02,completed
3,NODOTS,31,49,56,0.01,completed
4,GNU,34,54,59,0.01,completed
5,NODOTS,36,56,58,0.01,completed
6,GNU,31,56,53,0.01,completed
7,GNU,44,67,66,0.01,completed
8,GNU,27,50,38,0.01,completed
9,GNU,29,53,48,0.01,completed
10,GNU,37,62,59,0.01,completed
11,GNU,40,67,60,0.01,completed
12,NODOTS,34,53,58,0.01,completed
13,NODOTS,40,68,65,0.01,completed
14,NODOTS,41,62,70,0.01,completed
15,GNU,29,53,48,0.01,completed
16,GNU,34,56,57,0.01,completed
17,GNU,36,61,52,0.01,completed
18,NODOTS,27,39,51,0.01,completed
19,GNU,36,60,66,0.01,completed
20,GNU,31,54,49,0.01,completed
21,GNU,36,61,58,0.01,completed
22,GNU,26,47,51,0.01,completed
23,NODOTS,36,58,61,0.01,completed
24,NODOTS,33,50,56,0.01,completed
25,GNU,35,62,55,0.01,completed
26,GNU,34,59,50,0.01,completed
27,GNU,31,51,47,0.01,completed
28,GNU,31,55,49,0.01,completed
29,NODOTS,35,55,57,0.01,completed
30,NODOTS,44,70,74,0.02,completed
31,NODOTS,36,60,61,0.01,completed
32,GNU,37,62,51,0.01,completed
33,GNU,32,55,51,0.01,completed
34,GNU,35,61,47,0.01,completed
35,GNU,44,67,66,0.01,completed
36,GNU,35,59,51,0.01,completed
37,GNU,36,59,57,0.01,completed
38,NODOTS,38,63,56,0.01,completed
39,NODOTS,30,45,54,0.01,completed
40,GNU,42,67,67,0.01,completed
41,GNU,31,54,51,0.01,completed
42,NODOTS,28,50,48,0.01,completed
43,GNU,34,57,55,0.01,completed
44,GNU,31,51,45,0.01,completed
45,GNU,36,57,61,0.01,completed
46,GNU,34,54,49,0.01,completed
47,NODOTS,39,67,69,0.01,completed
48,GNU,35,65,47,0.01,completed
49,GNU,33,60,52,0.01,completed
50,GNU,42,68,65,0.01,completed
51,NODOTS,29,44,54,0.01,completed
52,GNU,36,58,48,0.01,completed
53,NODOTS,28,48,49,0.01,completed
54,NODOTS,37,58,58,0.01,completed
55,GNU,32,56,55,0.01,completed
56,GNU,38,59,50,0.01,completed
57,GNU,35,65,57,0.01,completed
58,GNU,44,69,70,0.01,completed
59,NODOTS,48,74,73,0.02,completed
60,NODOTS,32,52,57,0.01,completed
61,NODOTS,29,52,50,0.01,completed
62,NODOTS,39,57,65,0.01,completed
63,GNU,31,56,51,0.01,completed
64,NODOTS,32,48,55,0.01,completed
65,NODOTS,36,58,62,0.01,completed
66,NODOTS,33,50,56,0.01,completed
67,GNU,37,60,58,0.01,completed
68,GNU,36,60,60,0.01,completed
69,GNU,32,51,48,0.01,completed
70,NODOTS,29,52,49,0.01,completed
71,GNU,34,63,55,0.01,completed
72,GNU,35,59,51,0.01,completed
73,GNU,37,60,53,0.01,completed
74,NODOTS,28,44,48,0.01,completed
75,GNU,31,56,47,0.01,completed
76,GNU,42,70,63,0.01,completed
77,GNU,37,58,51,0.01,completed
78,NODOTS,28,46,49,0.01,completed
79,GNU,33,54,52,0.01,completed
80,GNU,38,64,69,0.01,completed
81,GNU,39,64,59,0.01,completed
82,NODOTS,31,49,57,0.01,completed
83,NODOTS,34,51,62,0.01,completed
84,NODOTS,33,52,59,0.01,completed
85,GNU,36,59,54,0.01,completed
86,GNU,36,59,53,0.01,completed
87,GNU,33,56,52,0.01,completed
88,GNU,33,63,54,0.01,completed
89,GNU,38,67,61,0.01,completed
90,NODOTS,34,55,56,0.01,completed
91,GNU,29,55,48,0.01,completed
92,NODOTS,29,44,52,0.01,completed
93,GNU,36,62,59,0.01,completed
94,NODOTS,32,56,50,0.01,completed
95,NODOTS,31,47,57,0.01,completed
96,GNU,38,69,62,0.01,completed
97,GNU,40,63,68,0.01,completed
98,NODOTS,34,61,56,0.01,completed
99,GNU,41,68,61,0.01,completed
100,GNU,35,57,53,0.01,completed
101,NODOTS,31,47,53,0.01,completed
102,NODOTS,43,67,66,0.01,completed
103,GNU,37,60,56,0.02,completed
104,NODOTS,32,52,53,0.01,completed
105,GNU,31,56,47,0.01,completed
106,GNU,38,65,58,0.01,completed
107,GNU,37,59,59,0.01,completed
108,GNU,38,67,64,0.01,completed
109,NODOTS,38,63,62,0.01,completed
110,GNU,41,66,61,0.01,completed
111,GNU,32,58,49,0.01,completed
112,GNU,29,49,44,0.01,completed
113,GNU,36,60,56,0.01,completed
114,NODOTS,37,54,63,0.01,completed
115,NODOTS,32,54,54,0.01,completed
116,GNU,38,59,54,0.01,completed
117,GNU,36,61,55,0.01,completed
118,NODOTS,33,54,54,0.01,completed
119,NODOTS,35,59,61,0.01,completed
120,GNU,41,67,59,0.01,completed
121,NODOTS,45,70,70,0.01,completed
122,GNU,35,60,47,0.01,completed
123,GNU,38,58,54,0.01,completed
124,GNU,33,61,52,0.01,completed
125,GNU,38,60,62,0.01,completed
126,GNU,29,53,44,0.01,completed
127,GNU,32,58,55,0.01,completed
128,NODOTS,37,58,62,0.01,completed
129,GNU,31,57,47,0.01,completed
130,NODOTS,34,57,60,0.01,completed
131,NODOTS,34,57,54,0.01,completed
132,GNU,38,60,61,0.01,completed
133,GNU,33,56,52,0.01,completed
134,GNU,33,56,50,0.01,completed
135,NODOTS,39,61,63,0.01,completed
136,GNU,35,55,57,0.01,completed
137,GNU,33,60,53,0.01,completed
138,GNU,33,59,56,0.01,completed
139,NODOTS,39,65,65,0.01,completed
140,NODOTS,38,59,67,0.01,completed
141,GNU,34,56,56,0.01,completed
142,GNU,39,66,63,0.01,completed
143,NODOTS,31,47,55,0.01,completed
144,GNU,32,57,51,0.01,completed
145,GNU,39,63,67,0.02,completed
146,NODOTS,33,56,54,0.01,completed
147,NODOTS,32,52,49,0.01,completed
148,GNU,35,57,55,0.01,completed
149,GNU,34,52,53,0.01,completed
150,GNU,37,65,62,0.01,completed
151,NODOTS,38,63,60,0.01,completed
152,NODOTS,32,52,59,0.01,completed
153,GNU,43,69,67,0.01,completed
154,NODOTS,35,59,57,0.01,completed
155,NODOTS,35,55,57,0.01,completed
156,NODOTS,35,53,57,0.01,completed
157,GNU,40,65,54,0.01,completed
158,GNU,42,73,63,0.01,completed
159,GNU,31,52,51,0.01,completed
160,NODOTS,36,60,60,0.01,completed
161,GNU,31,56,49,0.01,completed
162,GNU,42,69,60,0.01,completed
163,GNU,37,61,63,0.01,completed
164,GNU,35,59,55,0.01,completed
165,NODOTS,31,49,55,0.01,completed
166,GNU,38,60,57,0.01,completed
167,NODOTS,30,51,52,0.01,completed
168,GNU,32,55,59,0.01,completed
169,GNU,36,61,55,0.01,completed
170,NODOTS,43,71,68,0.01,completed
171,GNU,40,61,66,0.01,completed
172,NODOTS,39,57,63,0.01,completed
173,GNU,39,69,54,0.01,completed
174,NODOTS,36,60,55,0.01,completed
175,GNU,38,59,57,0.01,completed
176,NODOTS,37,60,60,0.01,completed
177,NODOTS,36,64,55,0.01,completed
178,GNU,41,73,62,0.01,completed
179,GNU,41,64,56,0.01,completed
180,GNU,46,70,68,0.01,completed
181,GNU,34,56,58,0.01,completed
182,GNU,37,65,58,0.01,completed
183,GNU,34,58,56,0.01,completed
184,GNU,37,60,58,0.01,completed
185,NODOTS,37,60,58,0.01,completed
186,GNU,39,65,54,0.01,completed
187,NODOTS,32,54,55,0.01,completed
188,NODOTS,29,44,52,0.01,completed
189,GNU,35,58,53,0.02,completed
190,GNU,31,58,53,0.01,completed
191,GNU,40,65,64,0.01,completed
192,GNU,38,60,59,0.01,completed
193,NODOTS,25,40,48,0.01,completed
194,NODOTS,33,50,56,0.01,completed
195,GNU,39,66,53,0.01,completed
196,GNU,33,57,50,0.01,completed
197,GNU,38,64,58,0.01,completed
198,GNU,40,62,60,0.01,completed
199,GNU,35,55,51,0.01,completed
200,NODOTS,27,43,49,0.01,completed
201,NODOTS,31,53,57,0.01,completed
202,NODOTS,32,56,56,0.01,completed
203,GNU,44,68,66,0.01,completed
204,NODOTS,30,49,51,0.01,completed
205,GNU,29,52,46,0.01,completed
206,NODOTS,35,57,55,0.01,completed
207,NODOTS,36,60,59,0.01,completed
208,GNU,33,56,54,0.01,completed
209,GNU,35,62,50,0.01,completed
210,GNU,53,80,78,0.02,completed
211,NODOTS,28,46,47,0.01,completed
212,GNU,40,61,54,0.01,completed
213,NODOTS,34,55,59,0.01,completed
214,GNU,33,54,52,0.01,completed
215,GNU,36,60,58,0.01,completed
216,NODOTS,28,42,51,0.01,completed
217,GNU,35,57,57,0.01,completed
218,GNU,32,53,56,0.01,completed
219,GNU,37,66,55,0.01,completed
220,GNU,35,62,51,0.01,completed
221,NODOTS,35,55,56,0.01,completed
222,GNU,26,46,43,0.01,completed
223,NODOTS,35,53,60,0.01,completed
224,GNU,37,64,54,0.01,completed
225,GNU,25,50,39,0.01,completed
226,GNU,36,60,62,0.01,completed
227,GNU,40,64,59,0.01,completed
228,NODOTS,33,50,56,0.01,completed
229,GNU,32,53,52,0.01,completed
230,GNU,35,60,57,0.01,completed
231,GNU,35,61,57,0.01,completed
232,GNU,37,61,59,0.01,completed
233,GNU,36,62,60,0.01,completed
234,GNU,36,57,56,0.01,completed
235,GNU,26,51,46,0.01,completed
236,GNU,36,62,50,0.01,completed
237,GNU,39,67,57,0.01,completed
238,GNU,36,57,52,0.01,completed
239,GNU,39,63,57,0.01,completed
240,NODOTS,43,65,67,0.01,completed
241,NODOTS,35,53,58,0.01,completed
242,NODOTS,30,51,52,0.01,completed
243,GNU,32,51,49,0.01,completed
244,GNU,39,63,59,0.01,completed
245,NODOTS,39,67,65,0.01,completed
246,NODOTS,36,60,57,0.01,completed
247,GNU,39,65,58,0.01,completed
248,NODOTS,29,48,54,0.01,completed
249,NODOTS,31,53,58,0.01,completed
250,GNU,33,54,52,0.01,completed
251,GNU,40,69,64,0.01,completed
252,GNU,31,54,55,0.01,completed
253,GNU,37,62,53,0.01,completed
254,GNU,29,55,44,0.01,completed
255,GNU,30,50,51,0.01,completed
256,GNU,34,58,59,0.01,completed
257,NODOTS,30,49,52,0.01,completed
258,GNU,33,56,56,0.01,completed
259,GNU,34,56,56,0.01,completed
260,NODOTS,33,54,64,0.01,completed
261,NODOTS,32,52,55,0.01,completed
262,GNU,34,61,51,0.01,completed
263,NODOTS,37,56,66,0.01,completed
264,NODOTS,39,63,68,0.01,completed
265,NODOTS,37,60,61,0.01,completed
266,GNU,35,57,50,0.01,completed
267,GNU,32,56,52,0.01,completed
268,GNU,34,60,54,0.01,completed
269,NODOTS,37,58,64,0.01,completed
270,GNU,39,67,56,0.01,completed
271,GNU,43,71,66,0.02,completed
272,GNU,38,60,60,0.01,completed
273,NODOTS,29,48,56,0.01,completed
274,GNU,35,59,48,0.02,completed
275,GNU,37,64,58,0.01,completed
276,GNU,40,63,56,0.02,completed
277,GNU,37,60,53,0.01,completed
278,GNU,39,65,62,0.02,completed
279,GNU,37,62,60,0.01,completed
280,GNU,35,59,52,0.01,completed
281,GNU,34,61,61,0.01,completed
282,NODOTS,32,52,52,0.01,completed
283,GNU,38,60,61,0.01,completed
284,GNU,43,67,66,0.01,completed
285,NODOTS,31,45,54,0.01,completed
286,NODOTS,37,62,60,0.01,completed
287,GNU,41,68,65,0.01,completed
288,NODOTS,33,52,56,0.01,completed
289,GNU,32,58,49,0.01,completed
290,GNU,41,66,59,0.01,completed
291,GNU,40,62,63,0.01,completed
292,GNU,33,58,49,0.01,completed
293,NODOTS,35,53,59,0.01,completed
294,GNU,48,71,70,0.01,completed
295,GNU,38,58,55,0.01,completed
296,GNU,33,57,57,0.01,completed
297,GNU,34,54,55,0.01,completed
298,NODOTS,31,47,54,0.01,completed
299,NODOTS,38,63,59,0.01,completed
300,GNU,40,61,61,0.01,completed
301,NODOTS,30,47,58,0.01,completed
302,GNU,29,50,50,0.01,completed
303,GNU,42,70,68,0.01,completed
304,GNU,35,55,55,0.01,completed
305,GNU,25,47,42,0.01,completed
306,GNU,44,70,71,0.01,completed
307,GNU,36,62,48,0.01,completed
308,NODOTS,29,44,52,0.01,completed
309,GNU,32,56,56,0.01,completed
310,GNU,30,55,50,0.01,completed
311,GNU,33,55,50,0.01,completed
312,GNU,38,60,61,0.02,completed
313,GNU,42,69,63,0.01,completed
314,NODOTS,30,51,50,0.01,completed
315,NODOTS,35,53,55,0.01,completed
316,GNU,35,58,51,0.01,completed
317,NODOTS,37,60,63,0.01,completed
318,GNU,40,65,58,0.01,completed
319,GNU,40,68,59,0.01,completed
320,NODOTS,35,53,61,0.01,completed
321,NODOTS,37,54,63,0.01,completed
322,GNU,37,64,61,0.01,completed
323,GNU,31,56,49,0.01,completed
324,GNU,37,63,52,0.01,completed
325,GNU,33,54,54,0.01,completed
326,GNU,33,57,54,0.01,completed
327,GNU,29,53,44,0.01,completed
328,NODOTS,31,51,51,0.01,completed
329,NODOTS,35,53,60,0.01,completed
330,GNU,40,67,60,0.01,completed
331,NODOTS,33,52,60,0.01,completed
332,NODOTS,31,57,56,0.01,completed
333,GNU,37,60,58,0.01,completed
334,GNU,42,66,67,0.01,completed
335,GNU,34,61,49,0.01,completed
336,GNU,43,68,65,0.01,completed
337,GNU,33,58,56,0.01,completed
338,GNU,42,68,58,0.01,completed
339,NODOTS,34,57,58,0.01,completed
340,NODOTS,34,57,55,0.01,completed
341,NODOTS,35,53,66,0.01,completed
342,NODOTS,34,59,58,0.01,completed
343,NODOTS,29,42,55,0.01,completed
344,NODOTS,31,45,57,0.01,completed
345,GNU,43,67,66,0.01,completed
346,GNU,42,71,69,0.01,completed
347,NODOTS,32,52,52,0.01,completed
348,GNU,44,71,63,0.01,completed
349,NODOTS,30,51,51,0.01,completed
350,GNU,36,61,60,0.01,completed
351,GNU,40,61,65,0.01,completed
352,NODOTS,31,47,57,0.01,completed
353,GNU,34,57,54,0.01,completed
354,NODOTS,36,58,58,0.01,completed
355,GNU,39,65,65,0.01,completed
356,GNU,37,64,59,0.01,completed
357,GNU,38,61,65,0.01,completed
358,NODOTS,39,61,71,0.01,completed
359,GNU,38,62,58,0.01,completed
360,NODOTS,41,64,73,0.01,completed
361,GNU,43,69,64,0.01,completed
362,GNU,33,59,52,0.01,completed
363,GNU,34,56,59,0.01,completed
364,GNU,39,64,59,0.01,completed
365,GNU,38,63,61,0.01,completed
366,GNU,42,64,56,0.01,completed
367,GNU,38,65,61,0.01,completed
368,GNU,41,64,63,0.01,completed
369,NODOTS,35,57,57,0.01,completed
370,NODOTS,40,62,62,0.01,completed
371,GNU,35,59,55,0.01,completed
372,GNU,43,68,60,0.01,completed
373,GNU,38,60,63,0.01,completed
374,NODOTS,40,64,62,0.01,completed
375,GNU,35,63,53,0.01,completed
376,GNU,34,58,55,0.01,completed
377,NODOTS,39,61,59,0.01,completed
378,GNU,41,71,69,0.01,completed
379,GNU,33,56,52,0.01,completed
380,GNU,27,50,43,0.01,completed
381,GNU,35,59,55,0.01,completed
382,GNU,27,49,47,0.01,completed
383,GNU,33,54,45,0.01,completed
384,GNU,31,54,49,0.01,completed
385,GNU,38,60,57,0.01,completed
386,GNU,31,52,49,0.01,completed
387,GNU,34,56,53,0.01,completed
388,GNU,35,61,50,0.01,completed
389,GNU,37,60,56,0.01,completed
390,GNU,34,55,55,0.01,completed
391,GNU,34,60,53,0.01,completed
392,GNU,38,68,57,0.01,completed
393,GNU,46,68,68,0.01,completed
394,NODOTS,37,58,64,0.01,completed
395,NODOTS,32,54,55,0.01,completed
396,GNU,39,71,57,0.01,completed
397,GNU,32,51,50,0.01,completed
398,GNU,42,64,64,0.02,completed
399,NODOTS,31,51,56,0.01,completed
400,NODOTS,39,63,59,0.01,completed
401,GNU,38,64,55,0.01,completed
402,GNU,34,61,53,0.01,completed
403,GNU,36,59,56,0.01,completed
404,GNU,36,63,56,0.01,completed
405,GNU,37,63,56,0.01,completed
406,GNU,35,56,55,0.01,completed
407,GNU,37,60,54,0.01,completed
408,NODOTS,34,53,57,0.01,completed
409,GNU,30,48,45,0.01,completed
410,GNU,37,58,58,0.01,completed
411,NODOTS,35,59,56,0.01,completed
412,NODOTS,44,68,71,0.01,completed
413,GNU,39,66,68,0.01,completed
414,GNU,33,60,50,0.01,completed
415,GNU,45,78,72,0.01,completed
416,NODOTS,39,61,63,0.01,completed
417,GNU,31,54,47,0.01,completed
418,GNU,32,57,51,0.01,completed
419,NODOTS,34,53,56,0.01,completed
420,NODOTS,38,63,69,0.01,completed
421,GNU,32,53,50,0.01,completed
422,GNU,43,76,63,0.01,completed
423,GNU,26,46,43,0.01,completed
424,NODOTS,35,51,56,0.01,completed
425,GNU,41,70,63,0.01,completed
426,GNU,39,64,54,0.01,completed
427,GNU,35,60,57,0.01,completed
428,GNU,39,65,64,0.01,completed
