GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:20:18.150Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-20-18-149Z

Game 1: O | GNU | clockwise > (29 turns, 50/46 moves, 0.02s)
Game 2: O | GNU | clockwise > (39 turns, 65/59 moves, 0.01s)
Game 3: O | GNU | clockwise > (32 turns, 53/62 moves, 0.01s)
Game 4: X | NODOTS | counterclockwise > (33 turns, 56/60 moves, 0.01s)
Game 5: O | GNU | clockwise > (31 turns, 52/51 moves, 0.01s)
Game 6: O | GNU | clockwise > (35 turns, 61/52 moves, 0.01s)
Game 7: O | GNU | clockwise > (30 turns, 50/47 moves, 0.01s)
Game 8: O | GNU | clockwise > (38 turns, 60/59 moves, 0.01s)
Game 9: O | GNU | clockwise > (38 turns, 64/56 moves, 0.01s)
Game 10: X | NODOTS | counterclockwise > (43 turns, 65/64 moves, 0.01s)
Game 11: X | NODOTS | counterclockwise > (35 turns, 57/61 moves, 0.01s)
Game 12: O | GNU | clockwise > (40 turns, 61/66 moves, 0.01s)
Game 13: O | GNU | clockwise > (39 turns, 66/57 moves, 0.01s)
Game 14: X | NODOTS | counterclockwise > (29 turns, 44/52 moves, 0.01s)
Game 15: X | NODOTS | counterclockwise > (32 turns, 50/57 moves, 0.01s)
Game 16: X | NODOTS | counterclockwise > (39 turns, 59/64 moves, 0.01s)
Game 17: O | GNU | clockwise > (40 turns, 61/63 moves, 0.01s)
Game 18: O | GNU | clockwise > (32 turns, 55/51 moves, 0.01s)
Game 19: X | NODOTS | counterclockwise > (27 turns, 43/49 moves, 0.01s)
Game 20: O | GNU | clockwise > (31 turns, 57/47 moves, 0.01s)
Game 21: O | GNU | clockwise > (34 turns, 58/53 moves, 0.01s)
Game 22: O | GNU | clockwise > (34 turns, 59/51 moves, 0.01s)
Game 23: O | GNU | clockwise > (39 turns, 65/52 moves, 0.01s)
Game 24: X | NODOTS | counterclockwise > (35 turns, 53/55 moves, 0.01s)
Game 25: O | GNU | clockwise > (40 turns, 63/61 moves, 0.01s)
Game 26: O | GNU | clockwise > (38 turns, 58/57 moves, 0.01s)
Game 27: X | NODOTS | counterclockwise > (33 turns, 52/52 moves, 0.01s)
Game 28: O | GNU | clockwise > (33 turns, 58/52 moves, 0.01s)
Game 29: O | GNU | clockwise > (38 turns, 63/62 moves, 0.01s)
Game 30: O | GNU | clockwise > (33 turns, 60/52 moves, 0.01s)
Game 31: O | GNU | clockwise > (35 turns, 55/53 moves, 0.01s)
Game 32: X | NODOTS | counterclockwise > (31 turns, 53/58 moves, 0.01s)
