Game,Winner,Turns,GNU_Moves,Nodots_Moves,Duration_Seconds,Status
909,GNU,32,53,48,0.01,completed
910,GNU,33,57,50,0.01,completed
911,GNU,40,67,63,0.01,completed
912,GNU,40,61,66,0.01,completed
913,GNU,31,59,49,0.01,completed
914,GNU,41,66,66,0.01,completed
915,GNU,35,59,55,0.01,completed
916,GNU,33,59,50,0.01,completed
917,NODOTS,41,62,66,0.01,completed
918,GNU,38,63,56,0.01,completed
919,GNU,34,55,58,0.01,completed
920,NODOTS,33,56,50,0.01,completed
921,GNU,39,67,57,0.01,completed
922,GNU,34,59,53,0.01,completed
923,GNU,33,58,52,0.01,completed
924,GNU,36,62,57,0.01,completed
925,GNU,30,54,44,0.01,completed
926,GNU,31,51,46,0.01,completed
927,GNU,37,60,56,0.01,completed
928,NODOTS,37,58,63,0.01,completed
929,GNU,39,62,60,0.01,completed
930,NODOTS,39,59,60,0.01,completed
931,GNU,33,60,51,0.01,completed
932,NODOTS,29,52,52,0.01,completed
933,GNU,37,62,54,0.01,completed
934,GNU,33,55,49,0.01,completed
935,GNU,32,55,51,0.01,completed
936,NODOTS,34,55,58,0.01,completed
937,GNU,41,71,60,0.01,completed
938,NODOTS,41,64,67,0.01,completed
939,NODOTS,34,55,52,0.01,completed
940,NODOTS,34,55,54,0.01,completed
941,GNU,33,60,47,0.01,completed
942,GNU,36,60,59,0.01,completed
943,NODOTS,32,56,53,0.01,completed
944,GNU,38,61,62,0.01,completed
945,GNU,38,62,53,0.01,completed
946,GNU,34,55,53,0.01,completed
947,GNU,35,61,53,0.01,completed
948,GNU,33,59,50,0.01,completed
949,GNU,39,65,60,0.01,completed
950,GNU,39,62,52,0.01,completed
951,GNU,28,50,40,0.01,completed
952,GNU,34,58,52,0.01,completed
953,GNU,50,80,77,0.02,completed
954,NODOTS,31,47,56,0.01,completed
955,GNU,32,57,49,0.01,completed
956,GNU,37,61,54,0.01,completed
957,GNU,31,53,46,0.01,completed
958,GNU,35,58,48,0.01,completed
959,NODOTS,25,40,45,0.01,completed
960,GNU,32,53,48,0.01,completed
961,GNU,36,65,63,0.01,completed
962,GNU,29,50,46,0.01,completed
963,NODOTS,33,58,55,0.01,completed
964,GNU,34,57,53,0.01,completed
965,GNU,29,50,48,0.01,completed
966,GNU,35,64,57,0.01,completed
967,GNU,37,66,55,0.01,completed
968,NODOTS,31,47,54,0.01,completed
969,GNU,38,68,63,0.01,completed
970,GNU,30,51,49,0.01,completed
971,GNU,34,57,51,0.01,completed
972,NODOTS,31,51,54,0.01,completed
973,GNU,29,48,42,0.01,completed
974,NODOTS,47,75,82,0.01,completed
975,NODOTS,33,52,55,0.01,completed
976,NODOTS,32,52,51,0.01,completed
977,GNU,32,53,54,0.01,completed
978,NODOTS,36,58,59,0.01,completed
979,NODOTS,33,50,60,0.01,completed
980,NODOTS,34,53,58,0.01,completed
981,GNU,31,58,48,0.01,completed
982,GNU,35,60,52,0.01,completed
983,GNU,35,57,48,0.01,completed
984,GNU,39,61,59,0.01,completed
985,GNU,32,60,49,0.01,completed
986,NODOTS,33,52,57,0.01,completed
987,GNU,39,67,61,0.01,completed
988,GNU,31,55,53,0.01,completed
989,GNU,39,63,60,0.01,completed
990,NODOTS,37,58,62,0.01,completed
991,GNU,31,55,45,0.01,completed
992,GNU,40,63,63,0.01,completed
993,NODOTS,39,69,63,0.01,completed
994,GNU,35,60,51,0.01,completed
995,NODOTS,33,56,54,0.01,completed
996,GNU,38,63,57,0.01,completed
997,GNU,36,62,57,0.01,completed
998,NODOTS,26,47,47,0.01,completed
999,NODOTS,30,47,50,0.01,completed
1000,NODOTS,30,49,48,0.01,completed
