Game,Winner,Turns,GNU_Moves,Nodots_Moves,Duration_Seconds,Status
1,NODOTS,33,54,59,0.02,completed
2,NODOTS,24,40,45,0.01,completed
3,GNU,29,50,45,0.01,completed
4,NODOTS,31,51,55,0.01,completed
5,NODOTS,37,64,61,0.01,completed
6,NODOTS,33,54,56,0.01,completed
7,GNU,32,55,45,0.01,completed
8,GNU,35,56,54,0.01,completed
9,GNU,42,68,64,0.01,completed
10,GNU,40,65,54,0.01,completed
11,GNU,39,69,56,0.01,completed
12,NODOTS,31,49,53,0.01,completed
13,GNU,25,50,36,0.01,completed
14,GNU,33,57,53,0.01,completed
15,GNU,31,56,51,0.01,completed
16,NODOTS,43,69,71,0.01,completed
17,NODOTS,29,50,50,0.01,completed
18,GNU,31,53,49,0.01,completed
19,GNU,27,52,37,0.01,completed
20,GNU,33,60,52,0.01,completed
21,NODOTS,43,67,71,0.01,completed
22,NODOTS,29,46,56,0.01,completed
23,NODOTS,30,49,51,0.01,completed
24,GNU,35,58,50,0.01,completed
25,NODOTS,35,59,59,0.01,completed
26,NODOTS,32,56,59,0.01,completed
27,GNU,33,58,56,0.01,completed
28,GNU,38,60,58,0.01,completed
29,GNU,42,71,67,0.01,completed
30,NODOTS,34,59,54,0.01,completed
31,NODOTS,29,48,50,0.01,completed
32,NODOTS,35,55,62,0.01,completed
33,GNU,38,58,58,0.01,completed
34,NODOTS,42,67,62,0.01,completed
35,GNU,36,61,52,0.01,completed
36,GNU,43,73,64,0.02,completed
37,NODOTS,33,52,59,0.01,completed
38,GNU,33,58,49,0.01,completed
39,NODOTS,34,57,52,0.01,completed
40,GNU,42,66,65,0.01,completed
41,GNU,40,65,58,0.01,completed
42,GNU,37,69,56,0.01,completed
43,GNU,33,60,45,0.01,completed
44,GNU,36,61,52,0.01,completed
45,GNU,35,65,53,0.01,completed
46,NODOTS,32,54,55,0.01,completed
47,GNU,34,55,54,0.01,completed
48,GNU,32,56,48,0.01,completed
49,GNU,35,62,55,0.01,completed
50,NODOTS,38,57,60,0.01,completed
51,GNU,35,58,59,0.01,completed
52,GNU,37,62,53,0.01,completed
53,NODOTS,33,50,54,0.01,completed
54,GNU,31,53,49,0.01,completed
55,NODOTS,28,44,47,0.01,completed
56,NODOTS,30,47,50,0.01,completed
57,NODOTS,35,55,57,0.01,completed
58,GNU,27,51,43,0.01,completed
59,NODOTS,28,48,49,0.01,completed
60,GNU,33,55,48,0.01,completed
61,GNU,37,64,57,0.01,completed
62,NODOTS,34,57,56,0.01,completed
63,GNU,43,65,65,0.01,completed
64,NODOTS,38,65,59,0.01,completed
65,GNU,28,50,48,0.01,completed
66,GNU,30,51,47,0.01,completed
67,NODOTS,34,53,58,0.01,completed
68,NODOTS,31,51,55,0.01,completed
69,GNU,38,59,58,0.01,completed
70,GNU,41,70,62,0.01,completed
71,NODOTS,34,53,54,0.01,completed
72,GNU,34,58,51,0.01,completed
73,GNU,34,57,50,0.01,completed
74,NODOTS,32,50,56,0.01,completed
75,GNU,32,55,56,0.01,completed
76,NODOTS,34,57,55,0.01,completed
77,GNU,33,53,47,0.01,completed
78,GNU,29,50,44,0.01,completed
79,GNU,30,57,49,0.01,completed
80,NODOTS,30,51,55,0.01,completed
81,GNU,37,68,54,0.01,completed
82,GNU,27,49,45,0.01,completed
83,GNU,35,60,53,0.01,completed
84,NODOTS,34,55,54,0.01,completed
85,GNU,35,57,56,0.01,completed
86,GNU,29,52,44,0.01,completed
87,GNU,34,57,53,0.01,completed
88,NODOTS,32,50,51,0.01,completed
89,GNU,33,58,57,0.01,completed
90,GNU,38,62,65,0.01,completed
91,NODOTS,37,56,64,0.01,completed
92,GNU,31,51,52,0.01,completed
93,GNU,37,60,56,0.01,completed
94,GNU,36,64,63,0.01,completed
95,GNU,42,68,60,0.01,completed
96,GNU,33,54,50,0.01,completed
97,NODOTS,35,55,57,0.01,completed
98,NODOTS,36,62,57,0.01,completed
99,NODOTS,28,46,53,0.01,completed
100,GNU,35,58,53,0.01,completed
101,GNU,25,48,38,0.01,completed
102,GNU,38,65,51,0.01,completed
103,GNU,35,58,55,0.01,completed
104,NODOTS,36,58,61,0.01,completed
105,NODOTS,33,52,59,0.01,completed
106,NODOTS,28,46,48,0.01,completed
107,NODOTS,29,48,52,0.01,completed
108,GNU,42,74,62,0.01,completed
109,GNU,32,54,48,0.01,completed
110,GNU,39,62,61,0.01,completed
111,GNU,35,58,55,0.01,completed
112,GNU,33,57,50,0.01,completed
113,NODOTS,29,48,48,0.01,completed
114,GNU,39,66,57,0.01,completed
115,NODOTS,32,56,53,0.01,completed
116,GNU,40,63,63,0.01,completed
117,GNU,39,67,60,0.01,completed
118,GNU,43,71,62,0.01,completed
119,GNU,43,67,63,0.01,completed
120,NODOTS,30,49,52,0.01,completed
121,GNU,33,58,50,0.01,completed
122,GNU,38,62,59,0.01,completed
123,GNU,38,62,66,0.01,completed
124,GNU,35,60,50,0.01,completed
125,GNU,38,64,53,0.01,completed
126,GNU,42,65,57,0.01,completed
127,GNU,48,77,74,0.02,completed
128,GNU,36,59,53,0.01,completed
129,GNU,46,75,68,0.01,completed
130,NODOTS,26,45,46,0.01,completed
131,GNU,38,65,63,0.01,completed
132,GNU,41,66,57,0.01,completed
133,GNU,33,58,54,0.01,completed
134,NODOTS,31,47,53,0.01,completed
135,NODOTS,39,61,63,0.01,completed
136,NODOTS,34,51,58,0.01,completed
137,GNU,38,63,58,0.01,completed
138,GNU,35,59,50,0.01,completed
139,NODOTS,37,60,56,0.01,completed
140,NODOTS,26,43,44,0.01,completed
141,NODOTS,40,70,65,0.01,completed
142,GNU,27,47,41,0.01,completed
143,GNU,41,68,58,0.01,completed
144,GNU,33,59,48,0.01,completed
145,GNU,35,59,56,0.01,completed
146,GNU,32,56,58,0.01,completed
147,GNU,33,56,51,0.01,completed
148,NODOTS,21,34,41,0.01,completed
149,GNU,25,50,42,0.01,completed
150,GNU,38,62,58,0.01,completed
151,GNU,31,55,47,0.01,completed
152,GNU,35,63,53,0.01,completed
153,GNU,38,57,56,0.01,completed
154,GNU,42,68,63,0.01,completed
155,GNU,32,53,52,0.01,completed
156,GNU,31,56,49,0.01,completed
157,GNU,36,63,57,0.01,completed
158,NODOTS,35,51,57,0.01,completed
159,GNU,37,64,55,0.01,completed
160,GNU,39,61,59,0.01,completed
161,GNU,31,53,51,0.01,completed
162,NODOTS,36,60,61,0.01,completed
163,NODOTS,49,74,81,0.02,completed
164,GNU,31,58,52,0.01,completed
165,NODOTS,41,62,65,0.01,completed
166,GNU,33,62,51,0.01,completed
167,GNU,36,60,52,0.01,completed
168,GNU,37,63,55,0.01,completed
